Id,Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default
1590,Rent,751944,5 years,0,9,12.5,154550,1,,1,debt consolidation,Short Term,163262,65531,8710,7110,1
1591,Rent,1003124,1 year,0,5,11.3,347908,0,,0,debt consolidation,Short Term,536074,147535,3068,747,0
1592,Home Mortgage,1053360,10+ years,0,8,30.3,392568,0,75,0,debt consolidation,Short Term,199584,146794,5899,746,0
1593,Own Home,3786700,10+ years,0,6,20.2,686290,0,13,0,debt consolidation,Short Term,767316,529283,35343,7300,1
1594,Home Mortgage,1259244,10+ years,0,12,23,1301806,0,,0,debt consolidation,Long Term,646338,745408,33370,724,0
1595,Home Mortgage,2877075,10+ years,0,10,12.7,562848,0,34,0,debt consolidation,Short Term,99999999,80693,38841,750,0
1596,Rent,1313774,6 years,0,5,13.3,212410,1,21,1,debt consolidation,Long Term,260788,5681,17079,728,1
1597,Rent,1548272,6 years,0,13,13.6,694672,0,,0,debt consolidation,Short Term,99999999,457748,35997,745,0
1598,Home Mortgage,2510755,4 years,0,8,20.8,650496,0,,0,debt consolidation,Short Term,782716,448305,36406,703,0
1599,Rent,754566,4 years,0,6,15.4,431222,0,,0,debt consolidation,Short Term,287408,217493,5653,747,0
1600,Own Home,843011,3 years,0,5,16.5,234344,0,,0,debt consolidation,Short Term,283756,121847,3456,732,1
1601,Rent,7999095,10+ years,0,15,15,6286192,0,30,0,debt consolidation,Short Term,762762,2540756,65059,715,0
1602,Home Mortgage,1198615,10+ years,0,12,21.2,1527724,0,,0,debt consolidation,Short Term,325292,661010,14683,746,0
1603,Own Home,3337635,1 year,0,9,18.2,377630,0,41,0,debt consolidation,Short Term,424006,263530,32264,742,0
1604,Rent,653163,3 years,0,10,12.5,196548,0,39,0,debt consolidation,Short Term,97240,122550,8437,711,1
1605,Home Mortgage,,2 years,0,8,21.6,587796,0,,0,debt consolidation,Short Term,112310,99503,13358,,0
1606,Home Mortgage,2630740,5 years,0,11,15,1333596,0,33,0,debt consolidation,Long Term,99999999,663404,32665,740,0
1607,Home Mortgage,2323092,10+ years,0,14,28.5,786830,0,,0,debt consolidation,Short Term,672474,472967,19940,714,0
1608,Home Mortgage,2663724,1 year,0,9,19.1,1741036,0,,0,home improvements,Short Term,660924,166896,11476,748,0
1609,Home Mortgage,812269,1 year,0,9,16.5,924594,0,,0,debt consolidation,Short Term,99999999,154907,10559,748,0
1610,Rent,,7 years,0,6,19.8,343420,0,,0,debt consolidation,Short Term,442838,244986,16790,,0
1611,Home Mortgage,1931920,10+ years,0,8,18.7,514668,0,,0,debt consolidation,Short Term,447392,399570,30589,740,0
1612,Rent,2510888,2 years,0,12,10.5,1055604,0,16,0,debt consolidation,Short Term,538406,408424,11111,748,0
1613,Home Mortgage,898263,4 years,0,7,14.4,310134,0,54,0,debt consolidation,Short Term,99999999,179189,13549,742,0
1614,Home Mortgage,1380445,7 years,0,6,36.3,221958,0,,0,debt consolidation,Short Term,199804,108490,4578,743,0
1615,Own Home,6651900,10+ years,0,13,25.1,2155868,0,,0,debt consolidation,Long Term,314380,1623569,110311,719,0
1616,Home Mortgage,7907382,10+ years,1,8,26,1372536,1,,0,home improvements,Long Term,763004,736117,25831,732,0
1617,Rent,863455,4 years,0,5,16.5,142516,0,15,0,debt consolidation,Short Term,87692,106343,10433,730,1
1618,Rent,2010371,10+ years,0,19,20.6,1672704,0,,0,debt consolidation,Long Term,99999999,336585,14994,739,0
1619,Rent,1192782,2 years,0,6,13.5,188056,0,39,0,other,Short Term,121594,27930,10516,732,0
1620,Rent,658217,10+ years,0,9,10.9,150260,0,3,0,debt consolidation,Short Term,139370,53200,10970,733,1
1621,Rent,1325212,4 years,0,12,15,383680,0,52,0,debt consolidation,Long Term,328812,304190,17780,722,0
1622,Rent,,10+ years,0,4,21,222508,0,,0,other,Long Term,333674,137978,3840,,0
1623,Rent,,2 years,0,6,14.8,92598,1,,1,debt consolidation,Short Term,87296,11191,1411,,1
1624,Home Mortgage,2633666,< 1 year,0,16,25.5,2075128,0,,0,debt consolidation,Long Term,544566,362007,14200,726,0
1625,Own Home,772464,7 years,0,13,32.1,530948,0,,0,debt consolidation,Short Term,99999999,260452,14290,739,0
1626,Home Mortgage,1685376,10+ years,0,10,21.8,407528,0,10,0,debt consolidation,Short Term,130108,298110,11011,733,0
1627,Home Mortgage,,,0,6,24.2,327294,1,,1,debt consolidation,Short Term,123244,210881,8128,,0
1628,Home Mortgage,,10+ years,0,9,22.1,923472,0,53,0,debt consolidation,Short Term,367334,397176,36529,,0
1629,Home Mortgage,,3 years,0,15,8.4,844470,0,,0,debt consolidation,Long Term,492888,408405,25821,,1
1630,Rent,2871945,10+ years,0,11,29.5,1338612,0,,0,debt consolidation,Short Term,532070,890169,49780,738,1
1631,Home Mortgage,1571547,10+ years,0,8,15.1,1316942,0,,0,debt consolidation,Long Term,559218,395808,23180,742,0
1632,Rent,863949,9 years,0,12,16.5,696586,0,16,0,debt consolidation,Short Term,65252,39102,2592,737,0
1633,Home Mortgage,1539760,5 years,0,6,20.1,129514,0,19,0,debt consolidation,Short Term,445720,20691,24380,740,0
1634,Home Mortgage,2836890,10+ years,0,17,12.2,2413686,0,35,0,debt consolidation,Short Term,306592,1488365,24350,734,0
1635,Home Mortgage,2671438,10+ years,0,12,20,1211232,0,,0,home improvements,Long Term,662838,928891,54097,719,0
1636,Rent,716566,1 year,0,12,12.8,291786,0,32,0,debt consolidation,Short Term,134552,108110,15705,741,0
1637,Rent,1345295,10+ years,0,10,13.4,0,0,38,0,debt consolidation,Short Term,293744,0,11659,748,0
1638,Home Mortgage,937346,8 years,0,14,17.2,603834,1,,1,debt consolidation,Short Term,313302,153843,11014,747,0
1639,Rent,447602,1 year,0,5,11.8,380446,0,,0,debt consolidation,Short Term,99999999,95285,2294,749,0
1640,Rent,1453652,9 years,0,13,34.5,647944,1,,1,debt consolidation,Short Term,246862,248463,16596,747,0
1641,Home Mortgage,1265267,7 years,0,10,21.4,236984,0,10,0,debt consolidation,Long Term,270468,50958,13496,692,0
1642,Rent,1142964,3 years,0,9,11.9,227216,0,,0,take a trip,Short Term,110286,166801,10572,732,1
1643,Rent,,9 years,0,3,10,0,0,,0,other,Short Term,332156,0,0,,1
1644,Rent,1142052,6 years,0,7,7.2,107998,0,,0,debt consolidation,Short Term,581856,34504,20652,700,1
1645,Rent,,10+ years,0,10,20.4,587378,0,10,0,debt consolidation,Short Term,131934,350018,20948,,0
1646,Rent,961476,1 year,0,11,11,376332,0,,0,debt consolidation,Long Term,264814,209646,18909,726,0
1647,Home Mortgage,,10+ years,0,15,18.6,2368520,0,,0,debt consolidation,Short Term,538736,965485,46402,,0
1648,Rent,,2 years,0,6,17.7,428076,0,,0,other,Short Term,135190,361,6888,,0
1649,Own Home,1148550,10+ years,0,9,15.9,933064,0,,0,debt consolidation,Short Term,99999999,453682,25747,731,0
1650,Rent,818463,3 years,0,20,31.7,540056,0,,0,debt consolidation,Short Term,250140,372191,19711,729,1
1651,Rent,972515,2 years,0,8,11.5,500258,0,,0,debt consolidation,Short Term,304040,255778,14101,746,0
1652,Home Mortgage,454727,10+ years,0,3,22,116336,0,13,0,debt consolidation,Short Term,131626,73245,2122,745,1
1653,Rent,1539475,8 years,0,14,16.4,477092,0,,0,debt consolidation,Long Term,429528,311087,20655,727,0
1654,Home Mortgage,1455210,10+ years,0,8,13.9,471614,1,,1,medical bills,Long Term,334180,346199,34076,656,0
1655,Home Mortgage,2572182,6 years,0,5,16.3,377498,0,,0,other,Short Term,44132,2926,1822,750,0
1656,Rent,1045323,10+ years,0,4,16.3,299090,0,33,0,debt consolidation,Long Term,440132,181070,11847,732,0
1657,Rent,1159608,10+ years,0,12,14.2,1951048,0,,0,debt consolidation,Long Term,459866,668933,25511,711,0
1658,Home Mortgage,2517804,10+ years,0,11,18.8,1252878,0,37,0,debt consolidation,Short Term,259138,138491,14687,751,0
1659,Rent,2543967,10+ years,0,7,20.6,133144,0,,0,debt consolidation,Long Term,545490,75772,20776,721,0
1660,Rent,1357531,2 years,0,11,18.8,430210,0,35,0,debt consolidation,Long Term,628760,193192,24888,709,0
1661,Home Mortgage,,10+ years,0,9,21.6,288860,0,,0,debt consolidation,Short Term,219626,8227,1912,,0
1662,Rent,481745,4 years,0,7,6.6,326238,0,28,0,debt consolidation,Short Term,128722,105374,10157,743,0
1663,Home Mortgage,1277066,10+ years,0,14,17.5,538604,1,,1,debt consolidation,Short Term,176572,315837,15006,742,0
1664,Home Mortgage,984542,5 years,0,15,16.5,507056,0,,0,debt consolidation,Short Term,236610,197505,12389,733,0
1665,Own Home,797392,3 years,0,12,18.5,750200,0,70,0,debt consolidation,Short Term,99999999,276659,13356,744,0
1666,Home Mortgage,1544833,,0,8,13.7,846604,0,,0,debt consolidation,Short Term,295570,465747,30768,725,0
1667,Rent,743299,,0,7,14.7,336402,0,,0,debt consolidation,Short Term,204732,187397,12822,712,0
1668,Home Mortgage,,10+ years,0,8,18.3,656216,0,52,0,debt consolidation,Long Term,220066,321898,8720,,1
1669,Rent,1652753,10+ years,0,10,21.5,919358,0,,0,debt consolidation,Short Term,345972,661390,24240,746,0
1670,Rent,673778,< 1 year,0,10,13.7,528088,0,,0,debt consolidation,Short Term,273064,405441,13981,737,0
1671,Home Mortgage,1326941,,0,9,17,487102,0,,0,debt consolidation,Long Term,316074,424061,28419,727,1
1672,Rent,1788584,10+ years,0,7,11.3,0,0,6,0,other,Short Term,174394,0,18333,743,0
1673,Rent,718656,6 years,0,6,8.6,168806,0,63,0,other,Short Term,147906,39653,6108,647,1
1674,Rent,,4 years,0,11,17.6,743292,0,,0,debt consolidation,Short Term,412302,574522,29872,,1
1675,Home Mortgage,1515421,9 years,0,13,14.9,1518990,0,,0,debt consolidation,Short Term,239778,409298,14270,736,0
1676,Rent,836665,3 years,0,7,17.9,813846,0,,0,debt consolidation,Long Term,99999999,306451,13289,739,0
1677,Rent,,< 1 year,0,8,5.4,136290,0,,0,other,Short Term,536602,50388,10057,,0
1678,Own Home,,5 years,0,9,10.4,324874,0,,0,debt consolidation,Short Term,219076,219393,6506,,1
1679,Home Mortgage,1379894,10+ years,0,17,30.8,506748,0,30,0,debt consolidation,Short Term,332882,87533,28633,750,0
1680,Home Mortgage,2245895,10+ years,0,12,25.8,2246860,0,,0,debt consolidation,Short Term,99999999,1352515,51843,745,0
1681,Home Mortgage,902614,10+ years,0,15,15.7,814462,0,,0,debt consolidation,Long Term,255838,123101,23618,739,0
1682,Rent,1885370,10+ years,0,10,15.2,501512,0,8,0,debt consolidation,Short Term,152812,159391,13637,734,0
1683,Home Mortgage,1644564,10+ years,0,10,19,1357444,0,31,0,other,Short Term,131846,669408,53585,7270,1
1684,Home Mortgage,845348,4 years,0,9,14.4,0,0,,0,other,Long Term,261008,0,8925,742,0
1685,Home Mortgage,1922610,5 years,0,9,15.9,939906,0,,0,debt consolidation,Long Term,779174,616930,46463,711,0
1686,Rent,1149576,10+ years,0,8,14.4,656392,1,,1,debt consolidation,Short Term,389576,305539,15423,737,0
1687,Home Mortgage,1548481,10+ years,0,10,24.5,893684,0,,0,debt consolidation,Short Term,639958,470022,17292,729,0
1688,Rent,850725,7 years,0,5,18.7,391754,0,39,0,debt consolidation,Short Term,157608,61579,3233,728,0
1689,Home Mortgage,1323825,5 years,0,9,12.8,622732,0,,0,debt consolidation,Long Term,520454,441009,24050,716,0
1690,Home Mortgage,1297852,,0,7,16.5,6025998,0,,0,other,Short Term,202576,1155352,7430,748,0
1691,Home Mortgage,568290,< 1 year,0,9,13.3,531124,0,38,0,debt consolidation,Short Term,230318,306869,14065,731,0
1692,Home Mortgage,,,0,7,23.5,615714,0,,0,debt consolidation,Short Term,363242,386593,7727,,1
1693,Rent,1234601,< 1 year,0,10,12.5,370700,0,33,0,other,Short Term,22330,256424,16873,670,0
1694,Rent,,2 years,0,19,19.4,187198,0,65,0,debt consolidation,Short Term,69960,142120,13896,,0
1695,Own Home,932425,10+ years,0,14,30.5,1129590,0,3,0,other,Short Term,43186,15618,6154,742,1
1696,Rent,,4 years,0,15,22.1,486266,0,50,0,debt consolidation,Long Term,262856,319580,9858,,1
1697,Home Mortgage,1509056,7 years,0,10,14.7,576708,0,,0,debt consolidation,Long Term,253902,448267,42254,6710,1
1698,Rent,1122900,< 1 year,0,5,16.5,672496,0,47,0,other,Short Term,325050,84227,8085,735,0
1699,Own Home,,1 year,0,8,10.4,364012,0,,0,debt consolidation,Short Term,239822,92112,8685,,0
1700,Home Mortgage,1409477,9 years,0,9,16.8,1882518,0,,0,debt consolidation,Short Term,99999999,253631,5661,750,0
1701,Home Mortgage,1503280,10+ years,0,10,20.6,265474,0,37,0,debt consolidation,Short Term,174064,137104,18541,739,0
1702,Rent,,4 years,0,11,16.6,375980,0,,0,debt consolidation,Long Term,343684,238659,11584,,1
1703,Rent,244682,< 1 year,0,5,9,448690,0,,0,major purchase,Short Term,87164,227088,5750,747,0
1704,Rent,,3 years,0,8,10.1,420794,0,31,0,debt consolidation,Short Term,176242,271833,43936,,1
1705,Home Mortgage,1321089,10+ years,1,9,21.1,146322,1,32,0,debt consolidation,Short Term,157960,52687,13872,731,0
1706,Rent,2665054,2 years,0,21,21.7,339504,0,13,0,debt consolidation,Long Term,555456,232807,57077,725,0
1707,Rent,2531750,3 years,0,20,26.5,1440164,1,,1,buy house,Long Term,451000,349505,33335,707,0
1708,Home Mortgage,741608,4 years,0,11,16.9,279246,0,68,0,debt consolidation,Short Term,60104,58615,12793,732,0
1709,Rent,,3 years,0,13,16.6,763510,0,59,0,debt consolidation,Short Term,205810,506407,22900,,0
1710,Home Mortgage,663100,,0,8,17.7,461978,0,57,0,home improvements,Short Term,218064,234992,7847,743,0
1711,Rent,,1 year,0,14,14.5,664422,0,33,0,debt consolidation,Long Term,360272,226081,24464,,0
1712,Rent,665266,8 years,0,6,15.2,650914,0,,0,debt consolidation,Short Term,264110,323798,8798,744,0
1713,Home Mortgage,,8 years,0,17,18.1,319110,1,,1,debt consolidation,Short Term,240350,216885,13455,,0
1714,Rent,,5 years,0,5,9.5,402886,0,,0,other,Short Term,220330,27493,9851,,0
1715,Rent,1613404,1 year,0,14,16.3,527142,0,9,0,debt consolidation,Short Term,160116,173451,22319,727,0
1716,Rent,,< 1 year,0,3,10.4,67496,0,,0,debt consolidation,Short Term,43604,17594,1412,,0
1717,Home Mortgage,,10+ years,0,10,14,823702,0,,0,home improvements,Long Term,343860,318687,10085,,0
1718,Home Mortgage,,10+ years,0,14,24.7,396858,0,,0,other,Short Term,45078,282416,28123,,1
1719,Rent,1874540,6 years,0,7,13.5,538362,0,,0,debt consolidation,Long Term,542630,438444,22807,696,1
1720,Rent,1841499,10+ years,0,10,22.5,266926,0,17,0,debt consolidation,Short Term,99999999,146604,33147,729,0
1721,Own Home,,10+ years,0,13,28.5,575872,0,15,0,debt consolidation,Short Term,257774,223801,8939,,0
1722,Rent,781793,9 years,0,15,16.3,351340,1,71,1,debt consolidation,Short Term,193974,130169,12834,699,0
1723,Home Mortgage,,10+ years,0,8,27.3,658306,0,9,0,debt consolidation,Short Term,69784,425277,34138,,0
1724,Rent,,< 1 year,0,9,13.1,384296,0,,0,debt consolidation,Short Term,179652,181545,11702,,0
1725,Rent,630705,7 years,0,17,10.3,436018,0,19,0,major purchase,Short Term,99999999,240616,8935,715,0
1726,Home Mortgage,,10+ years,0,12,24.4,668998,0,,0,debt consolidation,Short Term,350834,461073,15633,,1
1727,Rent,787816,5 years,0,7,18.7,276562,0,,0,other,Short Term,79706,153330,18776,677,1
1728,Rent,710524,5 years,0,6,7.6,210210,0,,0,take a trip,Short Term,108262,90402,3701,680,0
1729,Home Mortgage,1567196,4 years,0,12,14.1,944306,0,,0,debt consolidation,Short Term,572616,527649,23377,740,0
1730,Home Mortgage,828723,5 years,0,14,7.6,279180,0,,0,debt consolidation,Short Term,358204,135983,24171,728,0
1731,Home Mortgage,2250132,10+ years,0,17,16.5,1616054,0,,0,debt consolidation,Short Term,260546,1110968,43503,733,1
1732,Rent,1047033,3 years,0,11,9.9,215864,0,,0,other,Short Term,89804,68229,7303,697,0
1733,Rent,669864,6 years,0,12,10,307890,0,24,0,debt consolidation,Short Term,177276,195453,10048,715,1
1734,Home Mortgage,1289625,4 years,0,8,14.1,610148,0,32,0,debt consolidation,Short Term,346258,415245,9984,699,0
1735,Home Mortgage,,10+ years,0,13,14.8,495748,0,52,0,debt consolidation,Short Term,355476,294994,31021,,0
1736,Home Mortgage,1400205,6 years,0,8,19,332156,0,69,0,debt consolidation,Short Term,648516,265905,21353,730,0
1737,Home Mortgage,874095,7 years,0,12,9.8,858638,0,,0,debt consolidation,Short Term,233222,327769,17336,713,0
1738,Own Home,967480,9 years,0,15,28.5,2164008,0,,0,other,Long Term,224048,1510082,27492,665,0
1739,Rent,,10+ years,0,16,38.3,308990,0,22,0,debt consolidation,Short Term,224026,156123,18671,,0
1740,Home Mortgage,3094112,3 years,0,15,36.9,989780,0,20,0,debt consolidation,Short Term,358270,741969,37129,740,1
1741,Rent,597360,,0,9,14.4,391160,0,,0,debt consolidation,Short Term,129690,226005,12196,723,1
1742,Home Mortgage,,10+ years,0,21,22.5,1706320,0,,0,debt consolidation,Short Term,488510,1006487,29796,,1
1743,Rent,1893046,2 years,0,2,15.3,163240,0,24,0,small business,Long Term,257884,61465,5900,698,0
1744,Home Mortgage,1845983,4 years,0,14,12.1,828080,2,45,0,debt consolidation,Long Term,629992,146604,26613,635,0
1745,Home Mortgage,1047489,10+ years,0,11,13,459096,0,,0,debt consolidation,Short Term,108834,369930,28806,702,0
1746,Home Mortgage,3460356,9 years,0,8,16.1,539000,1,,1,debt consolidation,Short Term,445192,332823,36911,738,0
1747,Home Mortgage,,4 years,0,6,17.7,11110,0,15,0,other,Short Term,59972,8037,9529,,0
1748,Home Mortgage,,10+ years,0,3,40.5,59950,1,42,1,home improvements,Short Term,222046,38684,4778,,0
1749,Home Mortgage,1860119,5 years,0,8,10.1,383614,0,50,0,home improvements,Short Term,185086,193477,6789,715,0
1750,Home Mortgage,,10+ years,0,16,22.6,6052442,0,,0,debt consolidation,Long Term,787644,867692,23698,,1
1751,Own Home,1743858,10+ years,0,15,16,509542,0,7,0,other,Short Term,606320,216505,28774,715,0
1752,Rent,1749406,2 years,0,11,17,601260,0,,0,debt consolidation,Long Term,757460,368676,30469,678,1
1753,Home Mortgage,620103,10+ years,0,13,22.9,1619750,0,,0,debt consolidation,Short Term,336578,268584,7441,747,0
1754,Rent,424308,,0,7,23.6,233596,0,27,0,other,Long Term,88132,111758,8345,624,0
1755,Own Home,1608217,9 years,0,9,27.2,410058,0,11,0,debt consolidation,Long Term,416240,86773,23989,673,0
1756,Rent,1357056,10+ years,0,7,15.2,579898,0,,0,other,Short Term,261888,209342,20469,698,0
1757,Home Mortgage,1716479,10+ years,0,9,16.8,439032,0,25,0,debt consolidation,Short Term,377212,268071,19454,743,0
1758,Rent,883177,10+ years,0,16,16.5,1222144,0,,0,debt consolidation,Short Term,403612,284981,18252,745,1
1759,Home Mortgage,502436,6 years,0,5,15.3,181918,0,22,0,debt consolidation,Short Term,192610,88464,3241,737,0
1760,Home Mortgage,,5 years,0,11,16.3,656590,0,29,0,home improvements,Short Term,65516,79382,26872,,0
1761,Rent,2088746,1 year,0,13,12.6,1692988,0,,0,other,Short Term,153912,33630,32776,747,0
1762,Home Mortgage,4509213,7 years,0,12,35,910756,0,,0,debt consolidation,Short Term,444356,600153,34420,734,0
1763,Rent,,,0,10,37.9,374704,1,,1,debt consolidation,Short Term,381524,193838,11434,,0
1764,Rent,1358443,4 years,0,13,24.5,1253296,0,,0,debt consolidation,Long Term,99999999,313899,16980,744,0
1765,Home Mortgage,,2 years,0,16,10.7,809050,0,,0,debt consolidation,Short Term,153560,299744,13630,,0
1766,Rent,1542040,10+ years,0,7,26.5,638264,0,,0,debt consolidation,Long Term,99999999,473499,19944,734,0
1767,Own Home,269534,,0,6,24.5,193380,0,50,0,debt consolidation,Short Term,99999999,115748,4717,700,0
1768,Home Mortgage,2351250,10+ years,0,7,17.7,531432,1,70,1,other,Short Term,221342,46360,1431,736,0
1769,Home Mortgage,2915759,2 years,0,43,29,1729882,0,,0,home improvements,Long Term,715484,448191,40578,672,0
1770,Home Mortgage,1633753,3 years,0,11,17,307648,0,,0,debt consolidation,Long Term,99999999,237006,14704,728,0
1771,Rent,1263291,3 years,0,5,13.3,211464,0,,0,debt consolidation,Short Term,368500,131138,3979,6910,1
1772,Home Mortgage,1587070,10+ years,0,11,26.5,2001472,0,61,0,debt consolidation,Long Term,302676,618830,20235,720,0
1773,Home Mortgage,713526,10+ years,0,8,12.7,783706,0,37,0,debt consolidation,Short Term,199342,598994,9454,732,0
1774,Rent,1872830,3 years,0,4,8.4,444466,0,,0,debt consolidation,Short Term,99999999,363508,7897,713,0
1775,Home Mortgage,,5 years,0,8,13.8,303446,0,,0,debt consolidation,Long Term,381612,221445,6790,,0
